Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Number of Investors,Valuation (Million),Funding (Million),Year Joined,Years to unicorn
Bolt,$11B,08-10-2021,Fintech,San Francisco,United States,North America,2014,$1B,"Activant Capital, Tribe Capital, General Atlantic",3,11000,1000,2021,7
Alchemy,$10B,28-10-2021,Fintech,San Francisco,United States,North America,2017,$564M,"DFJ Growth Fund, Coatue Management, Addition",3,10000,564,2021,4
Deel,$6B,21-04-2021,Fintech,San Francisco,United States,North America,2018,$629M,"Andreessen Horowitz, Spark Capital, Y Combinator",3,6000,629,2021,3
Hinge Health,$6B,06-01-2021,Health,San Francisco,United States,North America,2015,$826M,"Atomico, Insight Partners, Coatue Management",3,6000,826,2021,6
Benchling,$6B,14-04-2021,Internet Software,San Francisco,United States,North America,2012,$412M,"Thrive Capital, Benchmark, MenloVentures",3,6000,412,2021,9
Betterup,$5B,25-02-2021,Internet Software,San Francisco,United States,North America,2013,$567M,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",3,5000,567,2021,8
6Sense,$5B,30-03-2021,Artificial Intelligence,San Francisco,United States,North America,2013,$426M,"Venrock, Battery Ventures, Insight Partners",3,5000,426,2021,8
Cerebral,$5B,10-06-2021,Health,San Francisco,United States,North America,2020,$462M,"Oak HC/FT Partners, Artis Ventures, WestCap Group",3,5000,462,2021,1
Coalition,$4B,17-03-2021,Cybersecurity,San Francisco,United States,North America,2017,$505M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",3,4000,505,2021,4
Commure,$4B,16-09-2021,Internet Software,San Francisco,United States,North America,2017,$542M,"General Catalyst, HCA Healthcare",2,4000,542,2021,4
Handshake,$4B,12-05-2021,Internet Software,San Francisco,United States,North America,2014,$434M,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",3,4000,434,2021,7
Aurora Solar,$4B,24-05-2021,Internet Software,San Francisco,United States,North America,2013,$523M,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",3,4000,523,2021,8
Clubhouse,$4B,24-01-2021,Mobile & Telecommunications,San Francisco,United States,North America,2020,$110M,"Andreessen Horowitz, TQ Ventures",2,4000,110,2021,1
Webflow,$4B,13-01-2021,Internet Software,San Francisco,United States,North America,2012,$335M,"Accel, Silversmith Capital Partners, capitalG",3,4000,335,2021,9
Worldcoin,$3B,29-06-2021,Fintech,San Francisco,United States,North America,2019,$125M,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz",3,3000,125,2021,2
Side,$3B,22-03-2021,Internet Software,San Francisco,United States,North America,2017,$314M,"Coatue Managemeny, Trinity Ventures, Matrix Partners",3,3000,314,2021,4
Sysdig,$3B,28-04-2021,Cybersecurity,San Francisco,United States,North America,2013,$730M,"Accel, Bain Capital Ventures, Insight Partners",3,3000,730,2021,8
Varo Bank,$3B,09-09-2021,Fintech,San Francisco,United States,North America,2015,$987M,"Warburg Pincus, The Rise Fund, HarbourVest Partners",3,3000,987,2021,6
Vercel,$3B,23-06-2021,Internet Software,San Francisco,United States,North America,2015,$313M,"CRV, Accel, Google Ventures",3,3000,313,2021,6
Sourcegraph,$3B,13-07-2021,Internet Software,San Francisco,United States,North America,2013,$248M,"Redpoint Ventures, Goldcrest Capital, Insight Partners",3,3000,248,2021,8
Ethos,$3B,11-05-2021,Fintech,San Francisco,United States,North America,2016,$407M,"Sequoia Capital, Google Ventures, Accel",3,3000,407,2021,5
Masterclass,$3B,13-05-2021,Edtech,San Francisco,United States,North America,2015,$461M,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",3,3000,461,2021,6
Innovaccer,$3B,19-02-2021,Health,San Francisco,United States,North America,2014,$379M,"M12, WestBridge Capital, Lightspeed Venture Partners",3,3000,379,2021,7
Spoton,$3B,26-05-2021,Fintech,San Francisco,United States,North America,2017,$628M,"Dragoneer Investment Group, DST Global, Franklin Templeton",3,3000,628,2021,4
Anchorage Digital,$3B,15-12-2021,Fintech,San Francisco,United States,North America,2017,$487M,"Andreessen Horowitz, Blockchain Capital, Lux Capital",3,3000,487,2021,4
Carbon Health,$3B,21-07-2021,Health,San Francisco,United States,North America,2015,$523M,"Brookfield Asset Management, Blackstone, Data Collective",3,3000,523,2021,6
Flutterwave,$3B,09-03-2021,Fintech,San Francisco,United States,North America,2016,$474M,"Green Visor Capital, CRE Venture Capital, Greycroft",3,3000,474,2021,5
Lattice,$3B,23-03-2021,Internet Software,San Francisco,United States,North America,2015,$329M,"Khosla Ventures, Thrive Capital, Y Combinator",3,3000,329,2021,6
Outschool,$3B,14-04-2021,Edtech,San Francisco,United States,North America,2015,$240M,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",3,3000,240,2021,6
Remote,$3B,13-07-2021,Fintech,San Francisco,United States,North America,2016,$496M,"Index Ventures, Sequoia Capital, General Catalyst",3,3000,496,2021,5
Pantheon Systems,$2B,13-07-2021,Internet Software,San Francisco,United States,North America,2010,$200M,"Foundry Group, Scale Venture Partners, SoftBank Group",3,2000,200,2021,11
Extend,$2B,18-05-2021,Fintech,San Francisco,United States,North America,2004,$320M,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",3,2000,320,2021,17
Airbyte,$2B,17-12-2021,Internet Software,San Francisco,United States,North America,2020,$181M,"Accel, Benchmark, SV Angel",3,2000,181,2021,1
Coinlist,$2B,15-10-2021,Fintech,San Francisco,United States,North America,2017,$119M,"Accomplice, Polychain Capital, GoldenTree Asset Management",3,2000,119,2021,4
